Name	Fraction	Experiment
20070924_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac10_01	10	L1
20070924_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac11_01	11	L1
20070925_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_black_Frac09_03	9	H3
20070925_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_black_Frac10_03	10	H3
20070925_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_black_Frac11_03	11	H3
20070925_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_green_Frac09_02	9	H2
20070925_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_green_Frac10_02	10	H2
20070925_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_green_Frac11_02	11	H2
20070925_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_red_Frac09_01	9	H1
20070925_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_red_Frac10_01	10	H1
20070925_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_red_Frac11_01	11	H1
20070926_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_black_Frac14_03	14	L3
20070926_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_black_Frac15_03	15	L3
20070926_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_green_Frac14_02	14	L2
20070926_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_green_Frac15_02	15	L2
20070926_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac14_01	14	L1
20070926_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac15_01	15	L1
20070926_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac16_01	16	L1
20070926_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac16_02	16	L2
20070926_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac16_03	16	L3
20070927_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_black_Frac14_03	14	H3
20070927_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_black_Frac15_03	15	H3
20070927_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_black_Frac16_03	16	H3
20070927_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_green_Frac14_02	14	H2
20070927_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_green_Frac15_02	15	H2
20070927_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_green_Frac16_02	16	H2
20070927_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_red_Frac14_01	14	H1
20070927_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_red_Frac15_01	15	H1
20070927_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_red_Frac16_01	16	H1
20070929_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_black_Frac_17_03	17	L3
20070929_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_black_Frac_18_03	18	L3
20070929_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_black_Frac_19_03	19	L3
20070929_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_green_Frac_17_02	17	L2
20070929_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_green_Frac_18_02	18	L2
20070929_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_green_Frac_19_02	19	L2
20070929_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac_17_01	17	L1
20070929_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac_18_01	18	L1
20070929_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac_19_01	19	L1
20070930_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_black_Frac_17_03	17	H3
20070930_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_black_Frac_18_03	18	H3
20070930_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_black_Frac_19_03	19	H3
20070930_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_green_Frac_17_02	17	H2
20070930_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_green_Frac_18_02	18	H2
20070930_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_green_Frac_19_02	19	H2
20070930_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_red_Frac_17_01	17	H1
20070930_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_red_Frac_18_01	18	H1
20070930_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_red_Frac_19_01	19	H1
20071001_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_black_Frac_20_03	20	L3
20071001_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_black_Frac_21_03	21	L3
20071001_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_black_Frac_22_03	22	L3
20071001_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_green_Frac_20_02	20	L2
20071001_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_green_Frac_21_02	21	L2
20071001_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_green_Frac_22_02	22	L2
20071001_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac_20_01	20	L1
20071001_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac_21_01	21	L1
20071001_CL_Orbi2_XIC_Hela60_Ecoli10_Offgel_red_Frac_22_01	22	L1
20071002_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_black_Frac_20_03	20	H3
20071002_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_black_Frac_21_03	21	H3
20071002_CL_Orbi2_XIC_Hela60_Ecoli30_Offgel_black_Frac_22_03	22	H3
